Time,PidCount,Pids,TotalWS_MB,SysFreeMB,MainLogLen,WerFault
2026-07-31 06:10:25,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2752,21058,-3,
2026-07-31 06:10:40,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2755,21063,-3,
2026-07-31 06:10:55,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2755,21059,-3,
2026-07-31 06:11:10,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2756,21067,-3,
2026-07-31 06:11:25,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2756,21069,-3,
2026-07-31 06:11:40,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2757,21069,-3,
2026-07-31 06:11:55,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2757,21069,-3,
2026-07-31 06:12:10,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2757,21069,-3,
2026-07-31 06:12:25,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2756,21069,-3,
2026-07-31 06:12:40,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2757,21066,-3,
2026-07-31 06:12:55,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2757,21069,-3,
2026-07-31 06:13:10,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2756,21069,-3,
2026-07-31 06:13:25,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2757,21090,-3,
2026-07-31 06:13:40,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2757,21095,-3,
2026-07-31 06:13:55,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2757,21097,-3,
2026-07-31 06:14:11,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2758,21092,-3,
2026-07-31 06:14:26,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2759,21091,-3,
2026-07-31 06:14:41,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2759,21091,-3,
2026-07-31 06:14:56,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2755,21095,-3,
2026-07-31 06:15:11,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2758,21093,-3,
2026-07-31 06:15:26,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2756,21095,-3,
2026-07-31 06:15:41,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2759,21094,-3,
2026-07-31 06:15:56,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2754,21097,-3,
2026-07-31 06:16:11,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2757,21095,-3,
2026-07-31 06:16:26,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2757,21096,-3,
2026-07-31 06:16:41,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2759,21089,-3,
2026-07-31 06:16:56,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2758,21089,-3,
2026-07-31 06:17:11,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2759,21084,-3,
2026-07-31 06:17:26,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2759,21084,-3,
2026-07-31 06:17:41,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2756,21075,-3,
2026-07-31 06:17:57,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2754,21082,-3,
2026-07-31 06:18:12,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2758,21081,-3,
2026-07-31 06:18:27,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2758,21108,-3,
2026-07-31 06:18:42,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2756,21110,-3,
2026-07-31 06:18:57,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2755,21112,-3,
2026-07-31 06:19:12,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2759,21108,-3,
2026-07-31 06:19:27,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2757,21111,-3,
2026-07-31 06:19:42,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2756,21112,-3,
2026-07-31 06:19:57,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2754,21115,-3,
2026-07-31 06:20:12,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2758,21112,-3,
2026-07-31 06:20:27,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2758,21113,-3,
2026-07-31 06:20:42,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2755,21128,-3,
2026-07-31 06:20:57,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2755,21106,-3,
2026-07-31 06:21:12,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2757,21105,-3,
2026-07-31 06:21:27,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2757,21101,-3,
2026-07-31 06:21:42,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2757,21108,-3,
2026-07-31 06:21:57,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2755,21121,-3,
2026-07-31 06:22:13,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2757,21122,-3,
2026-07-31 06:22:28,16,7416 11824 14980 16744 17604 18572 18684 19024 20328 21076 22892 24116 25012 27224 27724 28660,2758,21121,-3,
